Cl.CC#CCN1C(=NC2=C(CN(CC2)C(=O)c3ccc(cc3)c4ocnc4)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F	CHEMBL3727761	pKi=8.0
CCOc1ccc(cc1)C(=O)N2CCC3=C(C2)C(=O)N(OC)C(=N3)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3733229	pKi=8.05
CON1C(=NC2=C(CN(CC2)C(=O)c3cc4cccnc4s3)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F	CHEMBL3728315	pKi=8.05
C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3c(F)cccc3F)C(=O)N1CC#C)c4ccc(cc4)C(F)(F)F	CHEMBL3729644	pKi=8.05
C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3ccc(cc3)n4ccnc4)C(=O)N1CCC#C)c5ccc(cc5)C(F)(F)F	CHEMBL3731047	pKi=8.05
C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3cccc(c3)C#N)C(=O)N1CC#C)c4ccc(cc4)C(F)(F)F	CHEMBL3733091	pKi=8.05
CC[C@H](NC1=NC2=C(CN(CC2)C(=O)c3ccc(cc3F)C#N)C(=O)N1OC)c4ccc(cc4)C(F)(F)F	CHEMBL3730694	pKi=8.1
CON1C(=NC2=C(CN(CC2)C(=O)COc3ccc(Cl)cc3)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3733126	pKi=8.1
CON1C(=NC2=C(CN(CC2)C(=O)CSc3ccc(Cl)cc3)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3731543	pKi=8.1
CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(C)c(F)c3)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3731217	pKi=8.1
CON1C(=NC2=C(CN(CC2)C(=O)c3cnc4ccccc4c3)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F	CHEMBL3731182	pKi=8.1
Cl.CC#CCN1C(=NC2=C(CN(CC2)C(=O)c3ccc(cc3)C#N)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3731267	pKi=8.1
Cl.CC#CCN1C(=NC2=C(CN(CC2)C(=O)c3ccc4NC(=O)CCc4c3)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F	CHEMBL3731131	pKi=8.1
Cl.C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3ccc(cc3F)C#N)C(=O)N1N(C)C)c4ccc(cc4)C(F)(F)F	CHEMBL3728414	pKi=8.1
CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(OC)nc3OC)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3733353	pKi=8.16
CON1C(=NC2=C(CN(CC2)C(=O)COc3ccc(cc3)C#N)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3727469	pKi=8.22
CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(C=C)cc3)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3728379	pKi=8.22
C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3ccc(cc3F)C#N)C(=O)N1N4CCCC4)c5ccc(cc5)C(F)(F)F	CHEMBL3727434	pKi=8.22
Cl.C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3c(F)cc(F)cc3F)C(=O)N1N(C)C)c4ccc(cc4)C(F)(F)F	CHEMBL3728492	pKi=8.22
Cl.Cl.CC#CCN1C(=NC2=C(CN(CC2)C(=O)c3ccc(cc3)n4ccnc4)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F	CHEMBL3729643	pKi=8.22
CCON1C(=NC2=C(CN(CC2)C(=O)c3ccc(cc3F)C#N)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3729087	pKi=8.3
C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3ccc(cc3)C#N)C(=O)N1CCC#C)c4ccc(cc4)C(F)(F)F	CHEMBL3729902	pKi=8.3
Cl.C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3ccc(cc3F)C#N)C(=O)N1CC#C)c4ccc(cc4)C(F)(F)F	CHEMBL3730970	pKi=8.3
CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(C)c(C)c3)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3729468	pKi=8.4
Cl.CON1C(=NC2=C(CN(CC2)C(=O)c3cc4cccnc4s3)C1=O)N[C@@H](C)c5ccc(Cl)cc5	CHEMBL3731703	pKi=8.52
Cl.C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3ccc(cc3F)C#N)C(=O)N1N4CCOCC4)c5ccc(cc5)C(F)(F)F	CHEMBL3730277	pKi=8.52
CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(cc3)C#N)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3731943	pKi=8.7
C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3ccc(cc3F)C#N)C(=O)N1CCC#C)c4ccc(cc4)C(F)(F)F	CHEMBL3728036	pKi=8.7
Cl.CC#CCN1C(=NC2=C(CN(CC2)C(=O)c3ccc(cc3F)C#N)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3733288	pKi=8.7
