O=C(N1CCCCC1)N2c3ccccc3C=Cc4ccccc24	CHEMBL3103371	pIC50=5.1
COc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3674894	pIC50=6.93
CSc1ccc(cc1)N2C(C(C(=O)CC(C)C)C(=O)C2=O)c3ccccc3OCC#N	CHEMBL3679777	pIC50=6.93
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3O)c12)c4ccc(cc4)c5ccon5	CHEMBL3679950	pIC50=6.94
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4C(F)(F)F	CHEMBL3674818	pIC50=6.94
COC(=O)COCc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669821	pIC50=6.94
COCc1ccccc1C2C(C(=O)CC3CCCC3)C(=O)C(=O)N2c4ccc(cc4)c5ccsc5	CHEMBL3674942	pIC50=6.94
COCc1ncccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(cc4)c5ccsc5	CHEMBL3684557	pIC50=6.94
COc1ccccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(c(N)c4)c5ccsc5	CHEMBL3684639	pIC50=6.94
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4ccccc4C(=O)N5CCOCC5	CHEMBL3679772	pIC50=6.95
COc1ccc(F)cc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccon5	CHEMBL3679911	pIC50=6.95
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccccc5	CHEMBL3684613	pIC50=6.95
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)c4ccccc4)c5ccc(cc5)c6ccon6	CHEMBL3684606	pIC50=6.95
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCC(=O)O	CHEMBL3669824	pIC50=6.96
COCc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(SC)cc3	CHEMBL3674940	pIC50=6.96
COCc1ncccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674842	pIC50=6.96
COc1ccc(cc1)C(=O)C2C(N(C(=O)C2=O)c3nc4cc(OC)ccc4s3)c5ccccc5OCCO	CHEMBL3669773	pIC50=6.96
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3C(=O)O)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679933	pIC50=6.97
COc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cccs4	CHEMBL3669764	pIC50=6.97
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cn4)c5occc5	CHEMBL3684659	pIC50=6.97
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4ccccc4CC(=O)N(C)C	CHEMBL3679759	pIC50=6.98
CCCc1ccc(cc1)N2C(c3ccccc3OC)c4c(n[nH]c4C(C)(C)C)C2=O	CHEMBL3679854	pIC50=6.98
COCCCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3679758	pIC50=6.98
COc1ccc2nc(sc2c1)N3C(c4ccccc4OC)c5c(n[nH]c5C(C)(C)CO)C3=O	CHEMBL3684563	pIC50=6.98
COc1ccccc1C2N(C(=O)c3n[nH]c(CC(C)(C)C)c23)c4ccc(cc4)c5ccon5	CHEMBL3679917	pIC50=6.98
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)C(C)C	CHEMBL3684604	pIC50=6.98
Cc1nc(N=Nc2cc(ccc2S(=O)(=O)O)S(=O)(=O)O)c(CCC(=O)O)c(C=O)c1O	CHEMBL2376126	pIC50=6.98
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4ccccc4OC(F)(F)F	CHEMBL3674840	pIC50=6.99
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4ccccc4OC(F)F	CHEMBL3674854	pIC50=6.99
COc1ccc(cn1)[C@@H](CCO)Nc2ncnc3CCN(Cc23)c4ccc(Cl)cn4	CHEMBL3643341	pIC50=6.99
COc1ccccc1C2C(C(=O)c3cccnc3)C(=O)C(=O)N2c4ccc(cc4)c5ccsc5	CHEMBL3674962	pIC50=6.99
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4ccccc4S(=O)(=O)C	CHEMBL3679773	pIC50=7.0
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4cccnc4C(=O)NCCN(C)C	CHEMBL3679841	pIC50=7.0
CCCCC(CCCC)C1C(C(=O)c2ccc(CO)cc2)C(=O)C(=O)N1c3ccc(cc3)c4ccon4	CHEMBL3669700	pIC50=7.0
COc1ccccc1C2C(C(=O)C(=O)N2c3ccc(cc3)c4ccsc4)S(=O)(=O)C(C)C	CHEMBL3679821	pIC50=7.0
COc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3674867	pIC50=7.0
C[S+]([O-])CCOc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccon5	CHEMBL3684580	pIC50=7.0
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3cccs3)c4ccccc4OCC(=O)O	CHEMBL3669768	pIC50=7.01
CC(C)Oc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3669758	pIC50=7.01
OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)N(Cc2cccc(Oc3ccccc3)c2)[C@H]4CCCc5ccccc45	CHEMBL596234	pIC50=7.01
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3cocc3)c4cccnc4OCCO	CHEMBL3669808	pIC50=7.02
Cc1nc(N=Nc2cc(ccc2S(=O)(=O)O)S(=O)(=O)O)c(COP(=O)(O)O)c(C=O)c1O	CHEMBL69727	pIC50=7.02
COc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3674845	pIC50=7.03
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4N(C)C(=O)C	CHEMBL3669848	pIC50=7.04
CC(C)c1[nH]nc2C(=O)N(C(c3ccccn3)c12)c4ccc(cc4)c5ccsc5	CHEMBL3684632	pIC50=7.04
COCCCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(SC)cc3	CHEMBL3679750	pIC50=7.04
COCCOc1cc(F)ccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3674884	pIC50=7.04
COCCOc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3669777	pIC50=7.04
COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4occc4	CHEMBL3669750	pIC50=7.04
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cc4)c5occc5	CHEMBL3684540	pIC50=7.04
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCC(=O)O)c12)c4ccc(cc4)c5ccon5	CHEMBL3679880	pIC50=7.05
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4cccnc4OCCO	CHEMBL3679749	pIC50=7.05
COc1ccc(cn1)[C@@H](CO)Nc2ncnc3CCN(Cc23)c4ccc(Cl)cn4	CHEMBL3643343	pIC50=7.05
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3C(=O)O)c12)c4ccc(cc4)c5ccsc5	CHEMBL3684556	pIC50=7.06
CC(C)Oc1ccccc1C2C(C(=O)C3CCCC3)C(=O)C(=O)N2c4ccc(cc4)c5noc(C)n5	CHEMBL3679784	pIC50=7.06
CC(Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4ccccc4F	CHEMBL3643312	pIC50=7.06
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5occn5	CHEMBL3684614	pIC50=7.06
Cc1cc(on1)c2ccc(cc2)N3C(c4ccccc4OCCO)c5c(n[nH]c5C(C)(C)C)C3=O	CHEMBL3679866	pIC50=7.06
COc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669826	pIC50=7.07
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4ccccc4CCC(=O)N(C)C	CHEMBL3679799	pIC50=7.08
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4ccccc4OCCO	CHEMBL3669732	pIC50=7.09
COC(=O)n1nc(c2C(N(C(=O)c12)c3ccc(Br)cc3)c4ccccc4OC)C(C)(C)C	CHEMBL3684629	pIC50=7.09
COCCOc1cc(F)ccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3674880	pIC50=7.09
COCCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(SC)cc3	CHEMBL3674938	pIC50=7.09
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(c(OC)c3)c4ccsc4	CHEMBL3674749	pIC50=7.09
Brc1ccc(cc1)C(=O)C2C(C3CCCCC3)N(C(=O)C2=O)c4ccc(cc4)c5ccon5	CHEMBL3669707	pIC50=7.1
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4ccccc4C(=O)N(C)C	CHEMBL3674911	pIC50=7.1
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4ccccc4OC(C)C	CHEMBL3674912	pIC50=7.1
COc1ccc(cc1F)C(C)Nc2ncnc3CCN(Cc23)c4ccc(C)cn4	CHEMBL3643319	pIC50=7.1
Cc1nc(N=Nc2ccc(cc2)C(=O)O)c(CCC(=O)O)c(C=O)c1O	CHEMBL2376118	pIC50=7.1
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4ccccc4OC(F)(F)F	CHEMBL3674852	pIC50=7.11
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4ccccc4S(=O)(=O)C	CHEMBL3679809	pIC50=7.11
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3cocc3)c4ccccc4OC(F)(F)F	CHEMBL3674859	pIC50=7.11
COc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669765	pIC50=7.11
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3OC(F)F)c12)c4ccc(cc4)c5ccon5	CHEMBL3679946	pIC50=7.12
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCC(=O)O	CHEMBL3669769	pIC50=7.13
COCCOc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3669807	pIC50=7.13
COc1ccc(cc1)C(=O)C2C(N(C(=O)C2=O)c3ccc(cc3)C4=NCCS4)c5ccccc5OC	CHEMBL3669713	pIC50=7.13
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C4(CO)CCCCC4)c5ccc(cc5)c6ccon6	CHEMBL3679912	pIC50=7.13
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4ccccc4OC(C)C	CHEMBL3674835	pIC50=7.14
CN(C)C(=O)COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669794	pIC50=7.14
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4occc4	CHEMBL3674752	pIC50=7.14
COc1ccccc1C2C(C(=O)C3CC3)C(=O)C(=O)N2c4ccc(cc4)c5ccsc5	CHEMBL3669854	pIC50=7.14
C[C@@H](Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4ccccc4	CHEMBL3643308	pIC50=7.14
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4ccccc4C(=O)N(C)C	CHEMBL3674913	pIC50=7.15
CSc1ccc(cc1)N2C(C(C(=O)C(C)C)C(=O)C2=O)c3ccccc3OC(C)C	CHEMBL3679740	pIC50=7.15
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4ccccc4OC(F)F	CHEMBL3674839	pIC50=7.16
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4cccnc4OCCCO	CHEMBL3679829	pIC50=7.16
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OC(F)(F)F	CHEMBL3674848	pIC50=7.16
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)C4CCCC4	CHEMBL3679792	pIC50=7.16
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5cocc5	CHEMBL3684624	pIC50=7.16
CSc1ccc(cc1)N2C(c3cccnc3OCCO)c4c(n[nH]c4C(C)(C)C)C2=O	CHEMBL3679891	pIC50=7.16
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4ccccc4OC5CCOCC5	CHEMBL3679768	pIC50=7.17
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3cocc3)c4ccccc4OC(F)F	CHEMBL3674858	pIC50=7.17
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4ccccc4N5CCOCC5	CHEMBL3679754	pIC50=7.17
Cc1ccc(nc1)N2CCc3ncnc(NC(CCO)c4ccc(nc4)C(F)(F)F)c3C2	CHEMBL3643340	pIC50=7.17
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4cccnc4OCCCO	CHEMBL3679827	pIC50=7.18
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3cocc3)c4ccccc4OCCO	CHEMBL3674866	pIC50=7.18
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3occc3)c4ccccc4OCCO	CHEMBL3674753	pIC50=7.19
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4ccccc4OCCO	CHEMBL3674846	pIC50=7.19
CC(C)COc1ccccc1C2C(C(=O)C3CCCC3)C(=O)C(=O)N2c4ccc(cc4)c5ccon5	CHEMBL3679779	pIC50=7.19
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3CC(=O)O)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679938	pIC50=7.19
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3669836	pIC50=7.19
CC(Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4cccnc4	CHEMBL3643311	pIC50=7.2
COCc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669833	pIC50=7.2
CC(C)OCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3679801	pIC50=7.21
CC(C)Oc1ccccc1C2C(C(=O)C3CCCC3)C(=O)C(=O)N2c4ccc(cc4)c5ccon5	CHEMBL3679778	pIC50=7.21
COCCOc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5onc(C)n5	CHEMBL3679875	pIC50=7.21
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(SC)cc4	CHEMBL3679859	pIC50=7.21
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3cocc3)c4cccnc4OCCCO	CHEMBL3679825	pIC50=7.22
COCCCOc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3679830	pIC50=7.22
COc1ccccc1C2N(C(=O)c3[nH]nc(CO)c23)c4ccc(cc4)c5ccsc5	CHEMBL3684592	pIC50=7.22
Cc1nc(Cc2cccc(Oc3ccccc3)c2)c(\C=C\C(=O)O)c(C=O)c1O	CHEMBL3091630	pIC50=7.22
CCN(C)C(=O)c1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4oc(C)cc4	CHEMBL3679761	pIC50=7.23
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4ccccc4OC(F)F	CHEMBL3674851	pIC50=7.24
CCOCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3679804	pIC50=7.24
COCCCOc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3679826	pIC50=7.24
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4occc4	CHEMBL3674869	pIC50=7.24
COc1ncccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(cc4)c5ccsc5	CHEMBL3679899	pIC50=7.24
CC(Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4cccc(F)c4	CHEMBL3643303	pIC50=7.25
COCCOc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3674761	pIC50=7.25
COCCN(C)C(=O)c1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4oc(C)cc4	CHEMBL3679762	pIC50=7.26
COCCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3674864	pIC50=7.26
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cc4)c5onc(C)c5	CHEMBL3684558	pIC50=7.26
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4ccccc4OC(C)C	CHEMBL3674824	pIC50=7.27
CC(C)Oc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3674813	pIC50=7.27
CC(C)Oc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3674830	pIC50=7.27
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(SC)cc4	CHEMBL3679860	pIC50=7.27
Cc1onc(n1)c2ccc(cc2)N3C(c4ccccc4OCCO)c5c(n[nH]c5C(C)(C)C)C3=O	CHEMBL3679868	pIC50=7.27
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4ccccc4OCC5OCCO5	CHEMBL3679767	pIC50=7.28
CC(Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4cc(F)cc(F)c4	CHEMBL3643317	pIC50=7.28
CCN(C)C(=O)c1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3679760	pIC50=7.28
COc1ccc(cc1)C(=O)C2C(N(C(=O)C2=O)c3ccc(cc3)c4noc(C)n4)c5ccccc5OC	CHEMBL3669715	pIC50=7.28
COc1ccc(cc1)C(=O)C2C(N(C(=O)C2=O)c3ccc(cc3)c4oc(C)nn4)c5ccccc5OC	CHEMBL3669718	pIC50=7.28
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OC(F)F	CHEMBL3674809	pIC50=7.29
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4ccccc4OC(C)C	CHEMBL3674888	pIC50=7.29
CSc1ccc(cc1)N2C(C(C(=O)C(C)C)C(=O)C2=O)c3ccccc3OCCCO	CHEMBL3679742	pIC50=7.29
CC(Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4ccc(F)cc4F	CHEMBL3643318	pIC50=7.3
CNC(=O)CCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4oc(C)cc4	CHEMBL3679797	pIC50=7.31
COc1ccc(cc1)C(=O)C2C(N(C(=O)C2=O)c3ccc(cc3)c4ccon4)c5ccccc5OCCO	CHEMBL3669775	pIC50=7.31
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3occc3)c4ccccc4OCCO	CHEMBL3669746	pIC50=7.32
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4ccccc4OC(F)F	CHEMBL3674876	pIC50=7.32
COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3669740	pIC50=7.32
C[C@@H](Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4ccc(Cl)cc4	CHEMBL3643307	pIC50=7.32
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4C(=O)N(C)C	CHEMBL3674770	pIC50=7.33
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4cccnc4C(=O)NCC#N	CHEMBL3679836	pIC50=7.33
CCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3674863	pIC50=7.33
COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3669846	pIC50=7.33
C[C@@H](Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4ccc(C)cc4	CHEMBL3643324	pIC50=7.33
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4cccnc4OCCO	CHEMBL3669817	pIC50=7.34
COCCOc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(SC)cc4	CHEMBL3679885	pIC50=7.34
COc1cc(F)ccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccon5	CHEMBL3679908	pIC50=7.34
CSc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccon5	CHEMBL3679943	pIC50=7.34
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4ccccc4C(=O)N(C)C	CHEMBL3674909	pIC50=7.36
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3N(C)C(=O)C)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679926	pIC50=7.36
COCc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4occc4	CHEMBL3674870	pIC50=7.36
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cc4)c5onc(C)n5	CHEMBL3684560	pIC50=7.36
CC(Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4ccc(Cl)c(F)c4	CHEMBL3643327	pIC50=7.37
COCCOc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4occc4	CHEMBL3669780	pIC50=7.37
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3669841	pIC50=7.37
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cn4)c5cocc5	CHEMBL3684648	pIC50=7.37
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)C3=NCCS3)c4ccccc4OC(C)C	CHEMBL3674920	pIC50=7.38
COCCOc1ccccc1C2C(C(=O)C(=O)N2c3ccc(cc3)c4ccsc4)S(=O)(=O)C(C)C	CHEMBL3679822	pIC50=7.38
COc1ccc(cc1)C(=O)C2C(N(C(=O)C2=O)c3ccc(cc3)c4cc(C)on4)c5ccccc5OC	CHEMBL3679746	pIC50=7.38
CSc1ccc(cc1)N2C(C(C(=O)CC(C)C)C(=O)C2=O)c3ccccc3OC(C)C	CHEMBL3674939	pIC50=7.38
COCc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669806	pIC50=7.39
COc1ccc(F)cc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3674955	pIC50=7.39
COc1ccccc1C2N(C(=O)c3[nH]nc(c23)C(C)(C)C(=O)O)c4ccc(cc4)c5ccsc5	CHEMBL3684577	pIC50=7.39
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3cocc3)c4ccccc4OCCO	CHEMBL3669829	pIC50=7.4
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4ccccc4OCCO	CHEMBL3674889	pIC50=7.4
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4ccccc4OC(F)(F)F	CHEMBL3674877	pIC50=7.4
CCC(CC)C1C(C(=O)c2ccc(cc2)C(=O)N(C)C)C(=O)C(=O)N1c3ccc(cc3)c4ccon4	CHEMBL3669696	pIC50=7.4
COc1ccc(cc1)C(=O)C2C(N(C(=O)C2=O)c3ccc(cc3)c4onc(C)c4)c5ccccc5OC	CHEMBL3669712	pIC50=7.4
COc1ccccc1[C@@H]2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3669840	pIC50=7.4
CSc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3679819	pIC50=7.4
COCCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3669839	pIC50=7.41
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)C4=CCCC4	CHEMBL3679791	pIC50=7.41
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cn4)c5ccsc5	CHEMBL3684658	pIC50=7.41
CCOc1ncccc1C2C(C(=O)C3CCCC3)C(=O)C(=O)N2c4ccc(cc4)c5ccsc5	CHEMBL3679781	pIC50=7.43
COCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3674865	pIC50=7.43
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3674781	pIC50=7.43
CC(C)(C)c1[nH]nc2C(=O)N(C(c3cccc[n+]3[O-])c12)c4ccc(cc4)c5cccs5	CHEMBL3684576	pIC50=7.44
