O=C(N1CCCCC1)N2c3ccccc3C=Cc4ccccc24	CHEMBL3103371	pIC50=5.1
COCCOc1cccc(c1)C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674807	pIC50=6.18
COCCOc1ncccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(cc4)c5onc(C)n5	CHEMBL3684674	pIC50=6.18
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3nccs3)c4ccccc4OCCO	CHEMBL3669745	pIC50=6.19
CNC(=O)C(C)(C)c1n[nH]c2C(=O)N(C(c3ccccc3OC)c12)c4ccc(cc4)c5ccon5	CHEMBL3684573	pIC50=6.19
COCc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4onc(C)c4	CHEMBL3669727	pIC50=6.19
COc1ccc(cc1)C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674806	pIC50=6.19
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)C(C)(C)O	CHEMBL3684569	pIC50=6.19
Cc1nc(Cc2cccc(Oc3ccccc3)c2)c4C(=O)OC(O)c4c1O	CHEMBL3091635	pIC50=6.19
Cc1onc(n1)c2ccc(cc2)\N=C/3\CC(C4CCCCC4)N(C3=O)c5ccc(cc5)c6noc(C)n6	CHEMBL3679735	pIC50=6.19
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(I)cc3	CHEMBL3674802	pIC50=6.2
COc1ccccc1[C@H]2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669842	pIC50=6.2
Cc1nc(Cc2cccc(Oc3ccccc3)c2)c(CCC(=O)O)c(C(=O)O)c1O	CHEMBL3091633	pIC50=6.2
Cc1nc(Cc2cccc3ccccc23)c(CCC(=O)O)c(C=O)c1O	CHEMBL3091629	pIC50=6.2
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4ccccc4S(=O)(=O)C	CHEMBL3669760	pIC50=6.21
CN(C)CCOc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3669784	pIC50=6.21
