Cl.CN[C@@H](C)C(=O)N[C@@H]1C(=O)N(Cc2noc3ccccc23)c4ccccc4OC15CCOCC5	CHEMBL2431753	pIC50=6.25
C[C@@H]1CN(CC(=O)N2CC(C)(c3ccccc3)c4ccc(cc24)C#N)[C@H](CN1)C(=O)N5CCOCC5	CHEMBL3700027	pIC50=6.26
CN[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)Nc2ccc3ccccc3n2	CHEMBL1619739	pKi=6.27
CC[C@H](NC)C(=O)N[C@H]1CCC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL218832	pIC50=6.28
CN[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(=O)OCc1ccccc1)C(=O)N[C@@H]2CCCc3ccccc23	CHEMBL2401764	pKi=6.28
CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@H](N2C1=O)C(=O)N[C@@H](c3ccccc3)c4cn(CCOCCOCCOCCn5cc(nn5)[C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N67)c8ccccc8)nn4	CHEMBL1774165	pIC50=6.28
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cnc(Cc4ccccc4Cl)cc23	CHEMBL3699961	pIC50=6.28
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cnc(Oc4c(C)cccc4C)cc23	CHEMBL3699999	pIC50=6.28
Cl.Cl.CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@H]3CCCN3C[C@H]2C(=O)N[C@@H]4CCC(F)(F)c5ccccc45	CHEMBL3215907	pIC50=6.28
CC[C@H](N)C(=O)N[C@H]1[C@@H](CNS(=O)(=O)c2ccc(C)cc2)CC[C@H]3CC[C@H](N3C1=O)C(=O)NC(c4ccccc4)c5ccccc5	CHEMBL564203	pIC50=6.29
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CC[C@H](NC(=O)c3ccccc3)[C@@H]12)C(C)(C)C	CHEMBL456418	pKi=6.3
CN[C@@H](C)C(=O)N[C@H]1CCC[C@H]2C[C@H]3CCN(C[C@H]3N2C1=O)C(=O)C(COCC#C)c4ccccc4	CHEMBL3236383	pIC50=6.3
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]2CCCc3ccccc23)C(C)(C)C	CHEMBL1230662	pEC50=6.31
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CC[C@H](NC(=O)c3ccc4occc4c3)[C@@H]12)C(C)(C)C	CHEMBL462102	pKi=6.31
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cnc(cc23)C(=C)c4ccccc4	CHEMBL3699974	pIC50=6.31
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC3(CN(C3)C(=O)C)c4ccc(Cl)cc24	CHEMBL3699955	pIC50=6.31
Cl.CN[C@@H](C)C(=O)N[C@H]1CCc2ccccc2N(Cc3c(C)ccc4ccccc34)C1=O	CHEMBL2431758	pIC50=6.31
CCCCc1cccc(CCC2=C(O)C(=O)C=C(O)C2=O)c1	CHEMBL375784	pKi=6.32
Cl.Cl.CN[C@@H](C)C(=O)N[C@@H](C1CCC(F)(F)CC1)C(=O)N2C[C@H]3CCCN3C[C@H]2C(=O)N[C@@H]4CCOc5ccccc45	CHEMBL3217228	pIC50=6.32
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N2CCC[C@H]2C(=O)N[C@@H]3CCCc4ccccc34	CHEMBL2371815	pEC50=6.33
C[C@@H]1CN(CC(=O)N2CCc3cc(F)c(cc23)S(=O)(=O)c4ccccc4)CCN1	CHEMBL3696508	pIC50=6.33
Cl.Cl.CN[C@@H](C)C(=O)N[C@@H](C1CCOCC1)C(=O)N2C[C@H]3CCCN3C[C@H]2C(=O)N[C@@H]4CCOc5ccccc45	CHEMBL3216798	pIC50=6.33
CC[C@H](N)C(=O)N[C@H]1CCC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL375349	pIC50=6.34
CN[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)NC2CCCc3ccccc23.OC=O	CHEMBL1483909	pIC50=6.34
CC[C@H](N)C(=O)N[C@H]1[C@@H](CN=[N+]=[N-])CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL578239	pIC50=6.35
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3cnc(Cc4ccc(F)cc4F)cc23)[C@@H](CN5CCCC5)CN1	CHEMBL3700085	pIC50=6.35
CC[C@H](N)C(=O)N[C@H]1[C@@H](CN(CC)Cc2ccccc2)CC[C@H]3CC[C@H](N3C1=O)C(=O)NC(c4ccccc4)c5ccccc5	CHEMBL584396	pIC50=6.36
CN[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)NC(c2ccccc2)c3ccccc3	CHEMBL1800078	pKi=6.36
CN[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)Nc2cccc3ccccc23	CHEMBL1624713	pKi=6.36
CC[C@H](N)C(=O)N[C@H]1[C@@H](CNC(=O)CN)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL574477	pIC50=6.37
CN[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)NCC(c2ccccc2)c3ccccc3	CHEMBL2063862	pKi=6.37
CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@H](N2C1=O)C(=O)N[C@@H](c3ccccc3)c4cn(Cc5ccc(Cn6cc(nn6)[C@@H](NC(=O)[C@@H]7CC[C@@H]8CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N78)c9ccccc9)cc5)nn4	CHEMBL1773083	pIC50=6.37
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cnc(cc23)C#N	CHEMBL3699984	pIC50=6.38
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N2CCC[C@H]2C(=O)NCC(c3ccccc3)c4ccccc4	CHEMBL2063866	pKi=6.39
Cl.CN[C@@H](C)C(=O)N[C@@H]1C(=O)N(Cc2c(OC(F)F)ccc3ccccc23)c4ccccc4OC15CCOCC5	CHEMBL2431750	pIC50=6.39
Cl.Cl.CN[C@@H](C)C(=O)N[C@@H](C1CCC(F)(F)CC1)C(=O)N2C[C@H]3C[C@@H](O)CN3C[C@H]2C(=O)N[C@@H]4CCOc5ccccc45	CHEMBL3216799	pIC50=6.39
CC(C)[C@H](NC(=O)[C@H](C)N)C(=O)N1CCCCC1C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O	CHEMBL365408	pKd=6.4
CCC1(CC)CN(C(=O)CN2C[C@@H](C)NC[C@@H]2C(=O)N3CCOCC3)c4cc(Cl)ccc14	CHEMBL3700014	pIC50=6.4
CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O	CHEMBL221137	pKi=6.4
CC[C@H](N)C(=O)N[C@H]1[C@@H](COC(=O)C)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL572609	pIC50=6.4
CC[C@H](N)C(=O)N[C@H]1[C@@H](CNC(=N)N)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL575594	pIC50=6.41
CN[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)NNc2ccccc2	CHEMBL1625066	pKi=6.41
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cnc(Oc4ccccc4)cc23	CHEMBL3699957	pIC50=6.41
CC[C@H](C)[C@H](NC(=O)[C@H](C)NC)C(=O)N1CCC[C@H]1C(=O)N[C@@H]2CCCc3ccccc23.OC=O	CHEMBL1601190	pIC50=6.42
CC[C@H](N)C(=O)N[C@H]1[C@@H](CNC(=S)NCc2ccccc2)CC[C@H]3CC[C@H](N3C1=O)C(=O)NC(c4ccccc4)c5ccccc5	CHEMBL582975	pIC50=6.42
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3ccc(cc23)S(=O)(=O)Cc4ccccc4	CHEMBL3699954	pIC50=6.42
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cnc(Oc4c(F)cccc4F)cc23	CHEMBL3700007	pIC50=6.42
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cnc(cc23)c4ccsc4	CHEMBL3700005	pIC50=6.42
Cl.CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CC(C)C)c2ccccc2N(Cc3c(C)ccc4ccccc34)C1=O	CHEMBL2436327	pIC50=6.42
OC1=CC(=O)C(=C(CCc2cccc(CCc3ccccc3)c2)C1=O)O	CHEMBL221256	pKi=6.42
CC[C@H](N)C(=O)N[C@H]1[C@@H](CN(CC)CC)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL572851	pIC50=6.43
CC[C@H](N)C(=O)N[C@H]1[C@@H](Cn2cc(nn2)[C@H](O)CC)CC[C@H]3CC[C@H](N3C1=O)C(=O)NC(c4ccccc4)c5ccccc5	CHEMBL575151	pIC50=6.43
CN[C@@H](C)C(=O)N[C@H]1CCC[C@H]2C[C@H]3CCN(C[C@H]3N2C1=O)C(=O)OCc4ccccc4	CHEMBL3236385	pIC50=6.43
CN[C@@H](C)C(=O)N[C@H]1CN(CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4)C(=O)Cc5ccccc5	CHEMBL504559	pIC50=6.43
CC[C@H](N)C(=O)N[C@H]1[C@@H](CNS(=O)(=O)C)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL573787	pIC50=6.44
CN[C@@H](C)C(=O)N[C@H]1CC[C@H](C[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4)NC(=O)Cc5ccccc5	CHEMBL1241424	pIC50=6.44
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cnc(cc23)c4ccc(C)s4	CHEMBL3700026	pIC50=6.44
CC[C@H](NC)C(=O)N[C@H]1[C@@H](CNC(=O)CCc2cn(C[C@H]3CC[C@H]4CC[C@H](N4C(=O)[C@H]3NC(=O)[C@H](CC)NC)C(=O)NC(c5ccccc5)c6ccccc6)nn2)CC[C@H]7CC[C@H](N7C1=O)C(=O)NC(c8ccccc8)c9ccccc9.OC(=O)C(F)(F)F	CHEMBL2204573	pIC50=6.45
CC[C@H](N)C(=O)N[C@H]1CC[C@H]2CC[C@H](N2C1)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL472254	pKi=6.46
CN[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)NC(c2ccccc2)c3ccccc3	CHEMBL1620862	pKi=6.46
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cnc(Oc4ccccc4C)cc23	CHEMBL3699965	pIC50=6.46
